"simulationDay","grasses","animals","empty_cells","average_energy","average_life_length"
"1","0","5","171","15.0","0.0"
"2","5","5","167","14.0","0.0"
"3","10","5","161","13.0","0.0"
"4","15","5","156","12.0","0.0"
"5","20","5","152","11.0","0.0"
"6","25","5","146","10.0","0.0"
"7","30","5","141","9.0","0.0"
"8","35","5","136","8.0","0.0"
"9","39","5","132","7.2","0.0"
"10","44","5","127","6.2","0.0"
"11","47","5","124","5.6","0.0"
"12","52","5","119","4.6","0.0"
"13","54","5","117","4.2","0.0"
"14","58","5","113","3.4","0.0"
"15","61","5","110","2.8","0.0"
"16","64","5","107","2.2","0.0"
"17","68","5","103","1.4","0.0"
"18","71","5","100","0.8","0.0"
"19","74","3","99","1.0","17.0"
"20","78","3","95","0.33","17.0"
"1","3","5","113","15.0","0.0"
"2","4","5","112","14.0","0.0"
"3","5","5","111","13.0","0.0"
"4","6","5","110","12.0","0.0"
"5","6","5","110","13.0","0.0"
"6","7","5","109","12.0","0.0"
"7","8","5","108","11.0","0.0"
"8","9","5","107","10.0","0.0"
"9","10","5","106","9.0","0.0"
"10","11","5","105","8.0","0.0"
"11","12","5","104","7.0","0.0"
"12","13","5","103","6.0","0.0"
"13","14","5","103","5.0","0.0"
"14","15","5","101","4.0","0.0"
"15","16","5","100","3.0","0.0"
"16","16","5","100","4.0","0.0"
"17","17","2","102","9.0","15.0"
"18","18","2","101","8.0","15.0"
"19","19","2","100","7.0","15.0"
"20","20","2","99","6.0","15.0"
"21","21","2","98","5.0","15.0"
"22","21","2","98","9.0","15.0"
"23","22","2","97","8.0","15.0"
